t_day,thp_mon_italy_jan,thp_tue_italy_jan,thp_wed_italy_jan,thp_thu_italy_jan,thp_fri_italy_jan,thp_sat_italy_jan,thp_sun_italy_jan,thp_mon_italy_mar,thp_tue_italy_mar,thp_wed_italy_mar,thp_thu_italy_mar,thp_fri_italy_mar,thp_sat_italy_mar,thp_sun_italy_mar,thp_mon_seoul_jan,thp_tue_seoul_jan,thp_wed_seoul_jan,thp_thu_seoul_jan,thp_fri_seoul_jan,thp_sat_seoul_jan,thp_sun_seoul_jan,thp_mon_seoul_mar,thp_tue_seoul_mar,thp_wed_seoul_mar,thp_thu_seoul_mar,thp_fri_seoul_mar,thp_sat_seoul_mar,thp_sun_seoul_mar,thp_mon_feldmann_isp_ce_mar,thp_tue_feldmann_isp_ce_mar,thp_wed_feldmann_isp_ce_mar,thp_thu_feldmann_isp_ce_mar,thp_fri_feldmann_isp_ce_mar,thp_sat_feldmann_isp_ce_mar,thp_sun_feldmann_isp_ce_mar,thp_mon_feldmann_isp_ce_apr,thp_tue_feldmann_isp_ce_apr,thp_wed_feldmann_isp_ce_apr,thp_thu_feldmann_isp_ce_apr,thp_fri_feldmann_isp_ce_apr,thp_sat_feldmann_isp_ce_apr,thp_sun_feldmann_isp_ce_apr,thp_mon_feldmann_isp_ce_jun,thp_tue_feldmann_isp_ce_jun,thp_wed_feldmann_isp_ce_jun,thp_thu_feldmann_isp_ce_jun,thp_fri_feldmann_isp_ce_jun,thp_sat_feldmann_isp_ce_jun,thp_sun_feldmann_isp_ce_jun,thp_wknd_feldmann_isp_ce_feb22,thp_wkdy_feldmann_isp_ce_mar25,thp_wkdy_moreira_pre_lock_feb19,thp_wkdy_moreira_pre_lock_may19,thp_wkdy_moreira_pre_lock_jul19,thp_wkdy_moreira_pre_lock_oct19,thp_wknd_moreira_pre_lock_feb19,thp_wknd_moreira_pre_lock_may19,thp_wknd_moreira_pre_lock_jul19,thp_wknd_moreira_pre_lock_oct19,thp_wkdy_moreira_lock_mar20,thp_wkdy_moreira_lock_apr20,thp_wkdy_moreira_lock_may20,thp_wkdy_moreira_lock_jun20,thp_wknd_moreira_lock_mar20,thp_wknd_moreira_lock_apr20,thp_wknd_moreira_lock_may20,thp_wknd_moreira_lock_jun20
0.5138888888888888,0.5816675804694275,0.7154471422369519,0.7593442190032659,0.6555213199262965,0.7814679655452125,0.7646980289850507,0.685229022489122,0.8429393627583724,0.8143948439339803,0.7111045013971564,0.7679214431611752,0.7122359628699136,0.6796357937676712,0.5565479518990383,0.718122504152164,0.8719189529995661,0.7386157966260237,0.8678188113380949,0.9053237351684704,0.8587638239707747,0.8766515025744096,0.7944223553906867,0.9608465944707366,0.8211202901800447,0.895768662861083,0.8724961626135469,0.9779615779564792,0.8944523784232703,0.6428154659093004,0.6637824186957882,0.6822060486329198,0.579474287671378,0.6005313682924807,0.6956361776070029,0.7852485182479281,0.7415358008009595,0.6285545688558473,0.5641275029872778,0.582698438224124,0.6570097791437343,0.5778558691076039,0.6156994263525801,0.551898265890044,0.5803011153402243,0.5806139993645019,0.5385498200653842,0.5815650256462005,0.6798936075177018,0.6533845263006602,0.6613924050632912,0.6434599156118144,0.495344189043983,0.5194417065921297,0.5736448593826765,0.5001332286456004,0.6761164909654556,0.5449171475599577,0.7123053839811101,0.6761785677295585,0.5901682593717257,0.6666418221298975,0.6684308906772718,0.6732581469789239,0.7661670542707371,0.7036983114122927,0.6693696953593953,0.6368361776124621
0.5208333333333333,0.5868676286819786,0.7179624913655052,0.766046142742838,0.6637283249782207,0.7893882362888796,0.7720896735670318,0.6931096317294083,0.8515307353173373,0.8293200918289306,0.7123756000097791,0.7790578479171784,0.7160114660689145,0.687526792692608,0.5617574456766163,0.7288857147756451,0.8753043273050221,0.7434081270814826,0.8699197221486906,0.9105882903543208,0.8836979592683207,0.8868599366508513,0.8128163078916234,0.9690767909754407,0.8328945797438878,0.9018938333935266,0.8744534768436318,0.9770643069965764,0.9036740535860648,0.647195701184645,0.6668675580946191,0.6841427381585428,0.5832215370846511,0.607693332441273,0.7029779616437498,0.7897908383972745,0.7503241436026572,0.6315720448615687,0.5650829290284811,0.5853056532377773,0.6618580598401497,0.5808820224434976,0.6169052538055635,0.5549390249651867,0.5826425531112767,0.5846432364588297,0.5433801178767385,0.5909639354298083,0.6851121781552856,0.6561749579799461,0.6677215189873418,0.6463607594936709,0.4971550434556355,0.5223582968076392,0.5792274381351243,0.4992129350266153,0.6774509394937793,0.5527320768918019,0.7170429358035613,0.6834670791102815,0.5934178816850801,0.670864162114355,0.6741118420650619,0.6790888523972116,0.7729076623998877,0.7075614378176922,0.6732751310380685,0.6439722363979019
0.5277777777777778,0.5920676768945292,0.7227395667818215,0.7727480664824109,0.6708560595142138,0.7973085070325464,0.7793136179756195,0.7009924145137589,0.8601221078763013,0.8442453397238827,0.7039177520661031,0.7901942526731829,0.7197869692679153,0.6954177916175446,0.5720891847718679,0.7396489253991275,0.8741343665331041,0.7482004575369422,0.8720206329592861,0.9158528455401714,0.9086320945658684,0.8980223801124589,0.8358720883343972,0.9773069874801446,0.8446688693077292,0.9080190039259692,0.8764107910737167,0.9761670360366741,0.9128399574465051,0.6515759364599898,0.6699526974934497,0.6860794276841655,0.5889735635023672,0.6148552965900652,0.7103097043722191,0.7943331585466215,0.7527813111183833,0.63458952086729,0.5660383550696844,0.5879128682514306,0.666706340536565,0.5839081757793915,0.618111081258547,0.5579797840403292,0.5849839908823291,0.5863495379857812,0.5540935737008259,0.5988454150320236,0.6903307487928697,0.6589653896592321,0.6740506329113924,0.6492616033755275,0.49899341037079886,0.5251785724556574,0.5848389088881839,0.49829264140763024,0.67823475855349,0.5605221407259555,0.7216458986252265,0.69064281044298,0.5965677465481932,0.6750608622802166,0.6796703722970308,0.6848674051329666,0.779083801965711,0.7113695534918681,0.6770980679632701,0.6511146970664913
0.5347222222222222,0.5972677251070805,0.7311407317608385,0.7794499902219839,0.6779837940502069,0.8052287777762133,0.7865375623842078,0.7088751972981101,0.8687134804352661,0.8518448330821929,0.6954599041224271,0.8013306574291876,0.7235624724669162,0.7033087905424813,0.5824209238671187,0.7504315650095945,0.8695007981120084,0.7529927879924017,0.8741215437698816,0.9201952142718652,0.9291039648853896,0.9091848235740656,0.8615865735659852,0.9839457370096104,0.8542040336366575,0.9141880673074728,0.8783681053038016,0.9752697650767717,0.922005861306946,0.6559561717353345,0.6730378368922804,0.6880161172097882,0.5968969701914358,0.6211288493599898,0.7176414471006879,0.7979962453356924,0.7552384786341093,0.6376069968730115,0.5669937811108876,0.5905200832650839,0.6715546212329803,0.5869343291152852,0.6193169087115303,0.561020543115472,0.5873254286533814,0.5879420495622079,0.5698743680075465,0.6062847852297595,0.6955493194304535,0.661755821338518,0.6803797468354429,0.652162447257384,0.5013820619077655,0.5279988481036755,0.5907427809740593,0.4973723477886451,0.68187879598633,0.5682976194546753,0.7254912221789247,0.697094777044519,0.6004132801333418,0.6792549312176335,0.685228902528999,0.6906312393059407,0.7836591593707216,0.7152711939928967,0.6805474745240755,0.6582579380085849
0.5416666666666666,0.6024677733196317,0.7395418967398555,0.7946617753665499,0.6851115285861998,0.8131490485198801,0.7937615067927953,0.7167579800824607,0.8764455874524412,0.8584750777155215,0.6870020561787513,0.8155678847501929,0.7273379756659171,0.7148292587898353,0.5927526629623703,0.7657364523957976,0.8648672296909127,0.7577851184478612,0.8762224545804772,0.9230316658875436,0.9365131796735936,0.9218023738270844,0.8853950025167904,0.9862392031510948,0.8629723116225255,0.9207811119451368,0.8803254195338865,0.9743724941168692,0.9311680066424912,0.658598282195083,0.6761229762911106,0.6899528067354112,0.6048203768805044,0.626258657203391,0.7249731898291571,0.8012274132584988,0.7576956461498351,0.6406244728787326,0.5674710614900268,0.5928607027624374,0.6764029019293957,0.5899604824511789,0.6205227361645138,0.5640613021906142,0.5896668664244334,0.5895345611386348,0.5762063590048124,0.6126025534822455,0.7016982857054113,0.6645462530178039,0.6867088607594937,0.6550632911392406,0.5053602221696685,0.531613014506393,0.5966466530599346,0.4994846526464035,0.6870535508016353,0.5753688684234793,0.7286468289903867,0.703546743646058,0.6054651659960786,0.6843705649973647,0.6900361171966076,0.6964806739437266,0.7882345167757324,0.719241345356723,0.6837068554874471,0.6650682664670663
0.548611111111111,0.607667821532183,0.7479430617188726,0.8132465025618029,0.6922392631221931,0.8210693192635469,0.8009854512013836,0.7246407628668119,0.8840100953261772,0.8651053223488494,0.6785442082350764,0.8350254091528074,0.731113478864918,0.7498742907230354,0.6032111274024391,0.7810413397820005,0.8602336612698172,0.7625774489033202,0.8783233653910727,0.9258681175032221,0.9439223944617972,0.93807103708825,0.9027242749360964,0.9885326692925792,0.8717405896083937,0.9273741565828008,0.8822827337639714,0.9734752231569668,0.9403219573857721,0.6602223710630596,0.6777576160765386,0.6918894962610339,0.6085908382062334,0.6313884650467921,0.7412264781404495,0.8044585811813049,0.7601528136655611,0.6436419488844539,0.5675981163221526,0.5948649922604776,0.6812511826258111,0.5929866357870729,0.6217285636174972,0.5671020612657569,0.5920083041954858,0.5911270727150617,0.5825383500020783,0.6189203217347315,0.7079509203098023,0.6664578830140698,0.6896097046413502,0.6574367088607596,0.5093383824315716,0.5353891992510303,0.6042224233026832,0.506534175109006,0.6922283056169404,0.5812513696053918,0.7311061425321156,0.7067884550176371,0.6108154940244517,0.6900061474615639,0.6946484333031309,0.7024116840740159,0.7928098741807432,0.7233114887821442,0.6865430743781171,0.6699656391987493
0.5555555555555556,0.6149251932171651,0.7563442266978896,0.8318780303991977,0.6993669976581864,0.8289895900072138,0.8082093956099713,0.7335787201183991,0.8915746031999139,0.8717355669821779,0.6700863602914006,0.8544829335554195,0.7348889820639187,0.7937116698621373,0.6140840147598117,0.7890739693430743,0.8556000928487221,0.7651406761054598,0.8804242762016684,0.9287045691189004,0.9513316092500016,0.9543397003494164,0.9200535473554008,0.9908261354340632,0.8805088675942617,0.9339672012204641,0.8842400479940564,0.9725779521970644,0.9494759081290522,0.6618464599310363,0.6790278276426777,0.6938261857866569,0.6101843077931599,0.6365182728901932,0.7559339969678328,0.8076897491041112,0.7626099811812872,0.6466594248901754,0.5677251711542785,0.5968692817585177,0.6857757414054714,0.5960127891229665,0.6229343910704805,0.5701428203408996,0.5943497419665381,0.5927195842914886,0.5888703409993443,0.6252380899872175,0.7142035549141931,0.6680371451735313,0.6925105485232068,0.6598101265822784,0.5161334983171156,0.5395068838038065,0.6121498525813499,0.5135836975716083,0.6985677020811192,0.5871115993692833,0.7316169931509345,0.708705162298973,0.6189145027699429,0.6959878223270781,0.699180063483167,0.7083671810155471,0.7973852315857539,0.7276056660453983,0.6886055194568461,0.6748630119304323
0.5625,0.6269850258085438,0.7668357120540341,0.8514583028458723,0.7064947321941795,0.8369098607508806,0.8188301458848724,0.7445633959071755,0.8991391110736502,0.8783658116155066,0.6472350211823575,0.8720119458176327,0.7386644852629197,0.8406164279444736,0.6249569021171834,0.7947124415255702,0.8509665244276262,0.7650609645351801,0.8825251870122638,0.9315410207345788,0.9587408240382056,0.9645048212735168,0.934401915244506,0.9931196015755472,0.8784629358254467,0.940560245858128,0.8934281935788116,0.971680681237162,0.9586298588723332,0.6634705487990128,0.6802980392088167,0.6960502776203968,0.6117777773800863,0.6416480807335945,0.7599748011024059,0.8109209170269175,0.7650671486970133,0.6493080195760808,0.5678522259864042,0.5988735712565578,0.6834039498010954,0.5990389424588604,0.624140218523464,0.5731835794160423,0.5966911797375906,0.5943120958679156,0.5952023319966102,0.634653200137541,0.7204561895185841,0.6696164073329929,0.6954113924050633,0.6621835443037976,0.5229453492563017,0.5438848313015437,0.6202396805942562,0.5205509438682708,0.7067800015285625,0.5927969887558844,0.7321288999065103,0.7110022294702211,0.627013511515434,0.702555812108763,0.7036391201118671,0.7143984932707648,0.8019605889907645,0.7319062883738258,0.6906695292427977,0.6800665573268035
0.5694444444444444,0.6390448583999241,0.7809672888355641,0.8710385752925469,0.7165195434656935,0.8503167159426157,0.8429819852999089,0.7555480716959511,0.9067036189473868,0.8849960562488354,0.6283998269218782,0.8853144978454299,0.7424399884619206,0.8788653290530559,0.6358297894745559,0.8003509137080661,0.8463329560065306,0.7649812529649007,0.8918278072878764,0.9343774723502573,0.9663388998413348,0.9726518577321028,0.9280038736790068,0.9954130677170314,0.8736675030326441,0.947153290495792,0.9029892623891048,0.9707834102772596,0.9655679227249878,0.6650946376669893,0.6815682507749555,0.6990213809053536,0.6133712469670128,0.6458850660856152,0.7640156052369791,0.8141520849497237,0.7675243162127391,0.651874984661876,0.5679792808185299,0.600877860754598,0.6810321581967196,0.6008116903656843,0.6253460459764474,0.5762243384911846,0.5990326175086427,0.5959046074443423,0.601430242020305,0.6472897583493913,0.7267088241229749,0.6711956694924542,0.6983122362869199,0.6645569620253164,0.5295694880795994,0.548801275168443,0.6284561062542496,0.5279222745306232,0.7149923009760056,0.5984823781424853,0.733150715407635,0.7139290817204365,0.6350625115572258,0.7090425243581652,0.707077465886556,0.7204298055259821,0.8065359463957752,0.7363624558511127,0.6927897272453043,0.6853426348743176
0.5763888888888888,0.6516686782533567,0.7950988656170942,0.8894930240993295,0.7266704040969901,0.8641975722142539,0.8662713051559782,0.7665327474847276,0.9142681268211228,0.8916263008821641,0.6248170587286386,0.8986170498732273,0.7456183001773772,0.9100819875952982,0.6471725480529013,0.8059893858905619,0.8415734022749829,0.7649015413946213,0.903937154571998,0.9372139239659358,0.9747541748810014,0.9807988941906886,0.9216058321135072,0.9977065338585156,0.8688720702398413,0.9537463351334556,0.912550331199398,0.9698861393173572,0.9713066022708232,0.6667187265349661,0.6828384623410946,0.7019924841903107,0.6149647165539393,0.6486374290661887,0.7680564093715524,0.8204570748226101,0.769981483728465,0.6544419497476713,0.5681063356506556,0.6028821502526381,0.6786603665923439,0.6018870920269429,0.6265518734294309,0.5789099069658912,0.6005198097399809,0.5974971190207692,0.6070436448293308,0.6554409621999615,0.7319811425711455,0.6727749316519157,0.7012130801687764,0.6669303797468354,0.5361243005432651,0.5549486388427451,0.6361182005531707,0.5373660254682469,0.7218102175154228,0.603427348151031,0.7342503308235377,0.7173782716593157,0.6431012069047585,0.7148193976607814,0.709535855191648,0.7258083080667526,0.8110170456174598,0.7408186233283998,0.6949099252478109,0.6903491211982435
